time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed,lat,lon
Friday,19124.485288190244,206,2.9924313672802185,763.26764,87.65059000000002,10.50150029110126,1.337005687670742,47.392441,8.502614
Monday,16781.085329200712,206,3.9134497980651832,761.0655,82.264015,10.064760026298488,1.6305532074762843,47.392441,8.502614
Saturday,14125.57852623744,206,2.1585876442128766,762.9753,88.36965,11.048008931894305,1.4443617417193897,47.392441,8.502614
Sunday,9377.21380160197,206,3.8559594714862735,763.8656599999998,83.69445999999998,11.969603614705276,2.0020538098172107,47.392441,8.502614
Thursday,20191.94465665808,206,4.117260371324509,758.53705,82.950386,12.357510882117793,1.6577684996002486,47.392441,8.502614
Tuesday,21254.825868831518,206,3.0462464653835637,761.02856,84.49096999999998,11.467207881054456,1.2212441849858615,47.392441,8.502614
Wednesday,19215.825003136888,206,3.788866117361663,759.6932,83.55790999999998,10.667907482537958,1.4751348864444351,47.392441,8.502614
Friday,18975.224455751104,259,3.3101176078071566,757.7314,84.42414000000002,11.68437734590041,1.4992910167653684,47.379697,8.483497999999999
Monday,17609.899369717805,259,3.180776393066896,762.0515,81.144966,9.82588454376164,1.379064603924939,47.379697,8.483497999999999
Saturday,16038.019708460104,259,2.768357476953817,760.072,87.68635,10.867808001453161,1.2387266699968211,47.379697,8.483497999999999
Sunday,9357.046207405843,259,3.2022365228399616,757.0678,85.76916999999997,9.915708408059922,1.1706931110876675,47.379697,8.483497999999999
Thursday,16504.253293759954,259,3.4244244968872164,757.7821,84.22006999999998,12.05400318517446,1.3439264514260896,47.379697,8.483497999999999
Tuesday,25357.50370198982,259,1.2269782508098104,763.26117,86.74601,10.593475242943082,1.0408375751966683,47.379697,8.483497999999999
Wednesday,23174.473910374458,259,2.4705681740672527,760.3752,86.869446,10.533115067185047,1.148148148148148,47.379697,8.483497999999999
Friday,23127.424298767528,235,2.99527199320017,762.069,86.41038,10.563854653633658,1.4325860603484912,47.386069,8.508986
Monday,20668.894778796333,235,4.002192108409725,762.0894,80.76345,10.019728975687523,1.735552012754085,47.386069,8.508986
Saturday,16546.44082051282,235,3.820205128205128,761.6339999999999,88.14759000000002,11.149025641025641,1.826051282051282,47.386069,8.508986
Sunday,13513.066054808689,235,3.3903826266804558,764.2129,87.777405,10.283092037228542,1.314245087900724,47.386069,8.508986
Thursday,25840.5559566787,235,3.3417365232821385,757.7426,83.58533,11.431683289481736,1.3137734810010402,47.386069,8.508986
Tuesday,23704.63991723521,235,3.30488759646572,760.4121,84.437035,11.82591432725646,1.248909517951012,47.386069,8.508986
Wednesday,23781.445237336735,235,3.3721567378145907,758.8143,84.90328000000002,10.338451736221726,1.7672507167887863,47.386069,8.508986
Friday,17032.48815707459,273,3.0295034282152504,765.75073,87.14128000000002,10.577810097652193,1.3784541865780178,47.379697,8.572706
Monday,12881.162263268647,273,10.350011690437222,763.9847,70.832596,11.457797521627311,2.397942483048866,47.379697,8.572706
Saturday,12277.993167095572,273,4.8002484692519305,763.28705,87.03806999999998,11.016239240394,1.3664921465968587,47.379697,8.572706
Sunday,10341.607425343018,273,3.236158192090396,763.8603,81.2255,12.023244552058113,2.346892655367232,47.379697,8.572706
Thursday,12298.431793179321,273,7.042904290429043,758.3695700000002,87.7324,12.436881188118813,2.0871837183718367,47.379697,8.572706
Tuesday,16042.318135935395,273,5.113223418573352,756.5966,81.214836,9.533479138627188,1.0100942126514132,47.379697,8.572706
Wednesday,15973.078704135934,273,4.32181869106526,761.2262,82.38269,12.270282886751938,1.689291382690692,47.379697,8.572706
Friday,8541.522621059958,374,3.921547181067913,759.4757,82.45958,11.365516555632892,1.9965198369295016,47.354209,8.502614
Monday,10186.962966038362,374,4.217719837249855,762.2205,82.29186999999997,10.375321763680146,1.264635057709873,47.354209,8.502614
Saturday,7693.162123982051,374,3.7796243975403034,758.8289,85.13204,11.059082599301977,1.5240152900116335,47.354209,8.502614
Sunday,5493.770781791192,374,4.766823354774863,757.69763,74.45114000000002,14.290450272142506,2.8797624938149435,47.354209,8.502614
Thursday,10354.134015710546,374,5.171467111005317,761.2601,80.71753000000002,12.84590970403872,1.6997540268190114,47.354209,8.502614
Tuesday,11298.453448114531,374,3.8930476279592026,759.8908700000002,82.33358,11.075699447927386,1.0684944324880696,47.354209,8.502614
Wednesday,10851.322589238145,374,4.349493873201918,763.4933,81.82694000000002,10.774906766116144,1.1719943171727936,47.354209,8.502614
Friday,17829.51099317665,221,4.854435178165277,764.03345,92.76498,12.640636846095527,1.1243366186504928,47.392441,8.598194
Monday,12006.189090909093,221,3.5972727272727267,754.7615400000002,86.24181999999998,4.687272727272728,1.2190909090909092,47.392441,8.598194
Saturday,15748.192223439211,221,1.6812705366922234,769.6224,99.13363,11.334063526834614,1.0618838992332968,47.392441,8.598194
Thursday,25966.61083123426,221,7.153652392947103,765.72687,78.69206,14.857682619647354,1.3463476070528968,47.392441,8.598194
Tuesday,22115.28840716305,221,2.184731385485391,758.13715,91.28652,9.573044297832233,0.4938737040527804,47.392441,8.598194
Wednesday,12677.46214511041,221,2.295741324921136,753.9490400000002,89.33359499999997,9.60410094637224,1.6317034700315458,47.392441,8.598194
Friday,25593.147527242247,186,3.9899413243922885,757.5534,81.54568499999998,11.160938809723387,1.4937133277451802,47.398813,8.55359
