time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed,lat,lon
Friday,12455.345631068001,5448,13.3320388349515,763.58795,77.33009,13.7281553398058,1.5592233009708703,47.398675999999995,8.595974
Monday,12849.7644230769,5448,16.192307692307697,762.7495,74.28365,11.0913461538462,1.53605769230769,47.398675999999995,8.595974
Saturday,9811.58823529412,5448,9.65826330532213,766.6412,85.588234,13.879551820728299,1.6386554621848703,47.398675999999995,8.595974
Thursday,15926.7038327526,5448,14.050522648083598,763.25,77.46342,12.801393728223,1.4668989547038302,47.398675999999995,8.595974
Tuesday,14716.0338983051,5448,13.116222760290599,763.29877,73.76029,9.995157384987891,1.20581113801453,47.398675999999995,8.595974
Wednesday,11604.4115044248,5448,13.3982300884956,758.9365,71.56195,10.9159292035398,1.7986725663716798,47.398675999999995,8.595974
Friday,12036.0100910947,4116,5.446285534788751,759.0662,86.09203000000001,12.9529605779802,1.5134286163028101,47.408009,8.54885
Monday,13030.9145868997,4116,3.58852148842238,757.99493,88.09141,11.1510045950086,1.59658527795297,47.408009,8.54885
Saturday,12258.016662418799,4116,6.6760545431375,759.257,82.99003,12.084650184784,1.97814451382694,47.408009,8.54885
Sunday,9829.41208113863,4116,6.232096828420941,759.5894,82.28402,11.3501811797228,1.2235795136165,47.408009,8.54885
Thursday,15268.922389605901,4116,4.47330254240946,756.4183,87.49743000000001,11.256010704881898,1.55665386109552,47.408009,8.54885
Tuesday,13150.172887808001,4116,4.13450354234958,755.73236,86.77396,10.8714532445102,1.65566952169469,47.408009,8.54885
Wednesday,17117.9466138987,4116,3.82193562671242,757.5941,86.63965999999999,10.0388287714831,1.24252068746022,47.408009,8.54885
Friday,16711.5331557134,5371,8.25695677915927,765.18115,84.664,10.4425695677916,1.09739490822972,47.398675999999995,8.495180999999999
Monday,15945.0456185567,5371,8.21185567010309,760.44165,78.93557,11.4278350515464,1.49922680412371,47.398675999999995,8.495180999999999
Saturday,14108.4935555556,5371,4.11422222222222,764.5889,87.41534,10.8148888888889,1.15533333333333,47.398675999999995,8.495180999999999
Sunday,9707.21590080233,5371,9.48067104303428,765.2532,76.636765,11.619985412107999,1.93629953805008,47.398675999999995,8.495180999999999
Thursday,16259.7433170451,5371,9.94021270480023,759.8717,80.74964,12.702788157516501,2.03276803679218,47.398675999999995,8.495180999999999
Tuesday,17131.2900980702,5371,6.196773173046499,763.2359,78.9864,11.9057260360645,1.6700411262258799,47.398675999999995,8.495180999999999
Wednesday,14784.9076658383,5371,9.50716880137641,761.1592,77.54941600000001,11.5580194991397,1.7361881093481202,47.398675999999995,8.495180999999999
Friday,20990.2915451895,1677,15.3906705539359,762.2981599999999,72.15355,12.6083576287658,1.66472303206997,47.425638,8.560630999999999
Monday,16195.827290076299,1677,10.5257633587786,761.06506,78.76527,10.9923664122137,1.54770992366412,47.425638,8.560630999999999
Saturday,15238.2044334975,1677,1.3669950738916299,762.49286,93.729065,9.578817733990151,1.09113300492611,47.425638,8.560630999999999
Thursday,19615.4693218515,1677,18.116254036598498,761.88257,70.36383000000001,12.115177610333701,1.36383207750269,47.425638,8.560630999999999
Tuesday,19053.6172985782,1677,15.8850710900474,767.38104,68.971565,9.04383886255924,1.3305687203791499,47.425638,8.560630999999999
Wednesday,14529.0847750865,1677,16.1280276816609,762.8362,63.110725,13.044982698961899,2.75778546712803,47.425638,8.560630999999999
Friday,18597.0893854749,809,14.927374301675998,762.3056,73.17877,12.731843575419,1.66480446927374,47.43186,8.555394999999999
Monday,15558.5,809,10.526595744680801,760.93353,79.12234000000001,10.9946808510638,1.5478723404255301,47.43186,8.555394999999999
Saturday,11722.458333333301,809,1.44444444444444,762.375,93.375,9.375,1.08333333333333,47.43186,8.555394999999999
Thursday,20838.5359477124,809,18.2418300653595,761.9169999999999,70.09151,11.9346405228758,1.35947712418301,47.43186,8.555394999999999
Tuesday,19664.1094890511,809,15.6715328467153,767.4058,69.54745,8.78102189781022,1.4014598540146002,47.43186,8.555394999999999
Wednesday,14599.5543478261,809,16.3152173913043,763.3033,62.45652,12.467391304347801,2.58695652173913,47.43186,8.555394999999999
Friday,16533.9088747411,9578,9.510316790672698,762.6394,79.93794,11.3072792820434,1.70223210861395,47.368603,8.53576
Monday,16448.6010220975,9578,11.1615921687181,762.74725,76.32254,11.883970344777902,1.5627294320881,47.368603,8.53576
Saturday,12030.1789615548,9578,10.918853738118901,762.49945,77.95581,11.990495105688801,1.59724783657256,47.368603,8.53576
Sunday,7951.36370262391,9578,8.71137026239067,760.48175,74.895775,13.232264334305198,2.39139941690962,47.368603,8.53576
Thursday,17261.4165027984,9578,11.3628800484042,762.7349,75.75556,12.0621691120859,1.80381182877023,47.368603,8.53576
Tuesday,17644.6465599308,9578,9.12141929900476,761.64404,79.94721,10.6381652964085,1.32531371700563,47.368603,8.53576
Wednesday,15871.0327868852,9578,10.6484114318874,763.91,74.968376,11.3916291890324,1.46220803713913,47.368603,8.53576
Friday,20919.8900369004,8533,6.987207872078719,758.7527,82.11169,11.5107011070111,1.44993849938499,47.375862,8.487326999999999
Monday,18346.3633864761,8533,5.41781198460693,762.51636,79.202446,10.4402144035184,1.52006597031336,47.375862,8.487326999999999
Saturday,15536.4543262791,8533,8.51446557728368,761.2931,82.98942,11.079694615590698,1.4310206268416799,47.375862,8.487326999999999
Sunday,8733.24503150751,8533,10.5349006301503,760.52094,78.792534,11.9803683955405,1.7971400872515801,47.375862,8.487326999999999
Thursday,18209.4855156431,8533,8.36292004634994,760.0135,79.59653,11.3575898030127,1.26813441483198,47.375862,8.487326999999999
Tuesday,24213.5538869258,8533,5.8597173144876304,763.0136,84.51095600000001,11.264664310954098,1.32720848056537,47.375862,8.487326999999999
Wednesday,21192.5814997755,8533,9.85361472833408,761.5238,78.26314,11.2848375991618,1.72983086364317,47.375862,8.487326999999999
Friday,19365.8876633028,8556,8.79136352968787,760.8929400000001,79.85254,11.744739106626,1.6494563091606,47.375862,8.517434
Monday,19747.1400227777,8556,7.88491278547024,762.3894700000001,76.96236,10.6791344482407,1.61194029850746,47.375862,8.517434
Saturday,16656.854069061297,8556,8.505032101336111,760.6905,82.45957,10.8152871768176,1.40777372896061,47.375862,8.517434
Sunday,13888.3347571942,8556,9.29013039568345,762.19617,79.27248399999999,11.5993705035971,1.6270233812949602,47.375862,8.517434
Thursday,19329.5416360294,8556,8.210110294117651,760.2499,80.400185,11.0328125,1.53327205882353,47.375862,8.517434
Tuesday,19876.6046162874,8556,8.32933428962639,762.9088,80.56719,11.173045576057902,1.4891439003716498,47.375862,8.517434
Wednesday,20923.7905870297,8556,9.153637827550869,762.1878,78.09135,11.010101010101,1.6017420582638002,47.375862,8.517434
Friday,22660.6679104478,2844,15.5671641791045,762.6339999999999,70.772385,13.4440298507463,1.6455223880596999,47.417342,8.580266
Monday,19844.6861538462,2844,11.8153846153846,762.76337,79.17846,9.23692307692308,1.50153846153846,47.417342,8.580266
Saturday,12028.6805555556,2844,-0.125,773.1181,100.0,8.861111111111109,1.08333333333333,47.417342,8.580266
Thursday,17845.842519685,2844,17.157480314960598,762.1134,72.92913,11.980314960629899,1.1811023622047199,47.417342,8.580266
Tuesday,20583.1924528302,2844,16.0377358490566,767.2011,68.750946,9.154716981132081,1.3962264150943402,47.417342,8.580266
Wednesday,16276.720670391102,2844,15.9776536312849,762.7676,62.178771999999995,13.687150837988801,2.72067039106145,47.417342,8.580266
Friday,21467.3582677165,12889,11.748031496063001,763.93445,79.661415,11.5157480314961,1.56692913385827,47.344752,8.534450999999999
Monday,21950.7089337176,12889,19.0691642651297,763.7447,69.03746,13.850144092219,1.63688760806916,47.344752,8.534450999999999
Saturday,13034.9574036511,12889,11.4827586206897,764.8438,82.21298,13.582150101419899,1.70385395537525,47.344752,8.534450999999999
Sunday,10925.035087719301,12889,10.7543859649123,765.95435,86.0,9.631578947368421,0.666666666666667,47.344752,8.534450999999999
Thursday,21470.6026058632,12889,11.995114006514699,764.2008,79.35016999999999,11.2768729641694,1.5309446254071701,47.344752,8.534450999999999
Tuesday,22249.3291457286,12889,8.30150753768844,759.92487,82.49497,10.3040201005025,1.3919597989949701,47.344752,8.534450999999999
Wednesday,17733.8610108303,12889,12.6371841155235,758.1193,75.866425,11.2003610108303,1.26173285198556,47.344752,8.534450999999999
Friday,21007.672744273,7095,9.946353436185131,761.97687,80.250465,12.141538101916803,1.8290088826554498,47.386232,8.489944999999999
Monday,22009.3001133787,7095,10.191609977324301,762.18286,74.69637,11.805328798185899,1.6675736961451202,47.386232,8.489944999999999
Saturday,19702.5116999312,7095,8.43461803165864,758.94354,82.3916,9.79112181693049,1.24982794218858,47.386232,8.489944999999999
Sunday,17038.743037611297,7095,7.624174562159059,764.03394,79.29773,11.3680734998564,1.65891472868217,47.386232,8.489944999999999
Thursday,22146.4653972423,7095,11.021667760998001,762.29205,79.5652,12.1540380827315,1.3774130006566,47.386232,8.489944999999999
Tuesday,21196.433230183302,7095,10.090930730778402,762.9399400000001,76.05356,11.268983575339199,1.6504403713401599,47.386232,8.489944999999999
Wednesday,25597.0412414966,7095,9.36592970521542,763.31116,79.03033,9.80045351473923,1.74362244897959,47.386232,8.489944999999999
Friday,19773.500645994798,2542,9.596899224806199,762.331,82.94832,10.9909560723514,1.46188630490956,47.419416,8.56194
Monday,18396.9310344828,2542,7.77679403541472,763.13525,79.43896,10.739049394221801,1.33271202236719,47.419416,8.56194
Saturday,15039.630590833798,2542,8.500276090557701,762.3005400000001,80.53396,10.5124240750966,1.58972943125345,47.419416,8.56194
Sunday,10196.8789428815,2542,9.08610400682012,760.55585,75.98721,11.722932651321399,2.3324808184143198,47.419416,8.56194
Thursday,17484.4984126984,2542,10.4412698412698,760.38446,79.25044,12.351322751322801,1.71569664902998,47.419416,8.56194
Tuesday,15006.3443380654,2542,8.81313965004952,760.87885,78.39749,12.177946517002301,1.95873225486959,47.419416,8.56194
Wednesday,16542.685891748002,2542,9.36764270925762,761.18427,73.960365,10.958887902987302,1.63265306122449,47.419416,8.56194
Friday,23337.384762588197,6973,7.15847386676235,762.85236,82.7187,10.747398636526698,1.52900370769047,47.387268999999996,8.518742999999999
Monday,21467.6239737274,6973,6.7384236453202,762.7522,80.4491,10.716091954023,1.64121510673235,47.387268999999996,8.518742999999999
Saturday,14837.7267267267,6973,9.000200200200199,762.6713,82.40901,11.6354354354354,1.88968968968969,47.387268999999996,8.518742999999999
