time,num_particles,cell_id,temperature,atm_pressure,humidity,wind_direction,wind_speed
Friday,12455.345631068,5448,13.3320388349515,763.58795,77.33009,13.7281553398058,1.55922330097087
Monday,12849.7644230769,5448,16.1923076923077,762.7495,74.28365,11.0913461538462,1.53605769230769
Saturday,9811.58823529412,5448,9.65826330532213,766.6412,85.588234,13.8795518207283,1.63865546218487
Thursday,15926.7038327526,5448,14.0505226480836,763.25,77.46342,12.801393728223,1.46689895470383
Tuesday,14716.0338983051,5448,13.1162227602906,763.29877,73.76029,9.99515738498789,1.20581113801453
Wednesday,11604.4115044248,5448,13.3982300884956,758.9365,71.56195,10.9159292035398,1.79867256637168
Friday,12036.0100910947,4116,5.44628553478875,759.0662,86.09203,12.9529605779802,1.51342861630281
Monday,13030.9145868997,4116,3.58852148842238,757.99493,88.09141,11.1510045950086,1.59658527795297
Saturday,12258.0166624188,4116,6.6760545431375,759.257,82.99003,12.084650184784,1.97814451382694
Sunday,9829.41208113863,4116,6.23209682842094,759.5894,82.28402,11.3501811797228,1.2235795136165
Thursday,15268.9223896059,4116,4.47330254240946,756.4183,87.49743,11.2560107048819,1.55665386109552
Tuesday,13150.172887808,4116,4.13450354234958,755.73236,86.77396,10.8714532445102,1.65566952169469
Wednesday,17117.9466138987,4116,3.82193562671242,757.5941,86.63966,10.0388287714831,1.24252068746022
Friday,16711.5331557134,5371,8.25695677915927,765.18115,84.664,10.4425695677916,1.09739490822972
Monday,15945.0456185567,5371,8.21185567010309,760.44165,78.93557,11.4278350515464,1.49922680412371
Saturday,14108.4935555556,5371,4.11422222222222,764.5889,87.41534,10.8148888888889,1.15533333333333
Sunday,9707.21590080233,5371,9.48067104303428,765.2532,76.636765,11.619985412108,1.93629953805008
Thursday,16259.7433170451,5371,9.94021270480023,759.8717,80.74964,12.7027881575165,2.03276803679218
Tuesday,17131.2900980702,5371,6.1967731730465,763.2359,78.9864,11.9057260360645,1.67004112622588
Wednesday,14784.9076658383,5371,9.50716880137641,761.1592,77.549416,11.5580194991397,1.73618810934812
Friday,20990.2915451895,1677,15.3906705539359,762.29816,72.15355,12.6083576287658,1.66472303206997
Monday,16195.8272900763,1677,10.5257633587786,761.06506,78.76527,10.9923664122137,1.54770992366412
Saturday,15238.2044334975,1677,1.36699507389163,762.49286,93.729065,9.57881773399015,1.09113300492611
Thursday,19615.4693218515,1677,18.1162540365985,761.88257,70.36383,12.1151776103337,1.36383207750269
Tuesday,19053.6172985782,1677,15.8850710900474,767.38104,68.971565,9.04383886255924,1.33056872037915
Wednesday,14529.0847750865,1677,16.1280276816609,762.8362,63.110725,13.0449826989619,2.75778546712803
Friday,18597.0893854749,809,14.927374301676,762.3056,73.17877,12.731843575419,1.66480446927374
Monday,15558.5,809,10.5265957446808,760.93353,79.12234,10.9946808510638,1.54787234042553
Saturday,11722.4583333333,809,1.44444444444444,762.375,93.375,9.375,1.08333333333333
Thursday,20838.5359477124,809,18.2418300653595,761.917,70.09151,11.9346405228758,1.35947712418301
Tuesday,19664.1094890511,809,15.6715328467153,767.4058,69.54745,8.78102189781022,1.4014598540146
Wednesday,14599.5543478261,809,16.3152173913043,763.3033,62.45652,12.4673913043478,2.58695652173913
Friday,16533.9088747411,9578,9.5103167906727,762.6394,79.93794,11.3072792820434,1.70223210861395
Monday,16448.6010220975,9578,11.1615921687181,762.74725,76.32254,11.8839703447779,1.5627294320881
Saturday,12030.1789615548,9578,10.9188537381189,762.49945,77.95581,11.9904951056888,1.59724783657256
Sunday,7951.36370262391,9578,8.71137026239067,760.48175,74.895775,13.2322643343052,2.39139941690962
Thursday,17261.4165027984,9578,11.3628800484042,762.7349,75.75556,12.0621691120859,1.80381182877023
Tuesday,17644.6465599308,9578,9.12141929900476,761.64404,79.94721,10.6381652964085,1.32531371700563
Wednesday,15871.0327868852,9578,10.6484114318874,763.91,74.968376,11.3916291890324,1.46220803713913
Friday,20919.8900369004,8533,6.98720787207872,758.7527,82.11169,11.5107011070111,1.44993849938499
Monday,18346.3633864761,8533,5.41781198460693,762.51636,79.202446,10.4402144035184,1.52006597031336
Saturday,15536.4543262791,8533,8.51446557728368,761.2931,82.98942,11.0796946155907,1.43102062684168
Sunday,8733.24503150751,8533,10.5349006301503,760.52094,78.792534,11.9803683955405,1.79714008725158
Thursday,18209.4855156431,8533,8.36292004634994,760.0135,79.59653,11.3575898030127,1.26813441483198
Tuesday,24213.5538869258,8533,5.85971731448763,763.0136,84.510956,11.2646643109541,1.32720848056537
Wednesday,21192.5814997755,8533,9.85361472833408,761.5238,78.26314,11.2848375991618,1.72983086364317
Friday,19365.8876633028,8556,8.79136352968787,760.89294,79.85254,11.744739106626,1.6494563091606
Monday,19747.1400227777,8556,7.88491278547024,762.38947,76.96236,10.6791344482407,1.61194029850746
Saturday,16656.8540690613,8556,8.50503210133611,760.6905,82.45957,10.8152871768176,1.40777372896061
Sunday,13888.3347571942,8556,9.29013039568345,762.19617,79.272484,11.5993705035971,1.62702338129496
Thursday,19329.5416360294,8556,8.21011029411765,760.2499,80.400185,11.0328125,1.53327205882353
Tuesday,19876.6046162874,8556,8.32933428962639,762.9088,80.56719,11.1730455760579,1.48914390037165
Wednesday,20923.7905870297,8556,9.15363782755087,762.1878,78.09135,11.010101010101,1.6017420582638
Friday,22660.6679104478,2844,15.5671641791045,762.634,70.772385,13.4440298507463,1.6455223880597
Monday,19844.6861538462,2844,11.8153846153846,762.76337,79.17846,9.23692307692308,1.50153846153846
Saturday,12028.6805555556,2844,-0.125,773.1181,100,8.86111111111111,1.08333333333333
Thursday,17845.842519685,2844,17.1574803149606,762.1134,72.92913,11.9803149606299,1.18110236220472
Tuesday,20583.1924528302,2844,16.0377358490566,767.2011,68.750946,9.15471698113208,1.39622641509434
Wednesday,16276.7206703911,2844,15.9776536312849,762.7676,62.178772,13.6871508379888,2.72067039106145
Friday,21467.3582677165,12889,11.748031496063,763.93445,79.661415,11.5157480314961,1.56692913385827
Monday,21950.7089337176,12889,19.0691642651297,763.7447,69.03746,13.850144092219,1.63688760806916
Saturday,13034.9574036511,12889,11.4827586206897,764.8438,82.21298,13.5821501014199,1.70385395537525
Sunday,10925.0350877193,12889,10.7543859649123,765.95435,86,9.63157894736842,0.666666666666667
Thursday,21470.6026058632,12889,11.9951140065147,764.2008,79.35017,11.2768729641694,1.53094462540717
Tuesday,22249.3291457286,12889,8.30150753768844,759.92487,82.49497,10.3040201005025,1.39195979899497
Wednesday,17733.8610108303,12889,12.6371841155235,758.1193,75.866425,11.2003610108303,1.26173285198556
Friday,21007.672744273,7095,9.94635343618513,761.97687,80.250465,12.1415381019168,1.82900888265545
Monday,22009.3001133787,7095,10.1916099773243,762.18286,74.69637,11.8053287981859,1.66757369614512
Saturday,19702.5116999312,7095,8.43461803165864,758.94354,82.3916,9.79112181693049,1.24982794218858
Sunday,17038.7430376113,7095,7.62417456215906,764.03394,79.29773,11.3680734998564,1.65891472868217
Thursday,22146.4653972423,7095,11.021667760998,762.29205,79.5652,12.1540380827315,1.3774130006566
Tuesday,21196.4332301833,7095,10.0909307307784,762.93994,76.05356,11.2689835753392,1.65044037134016
Wednesday,25597.0412414966,7095,9.36592970521542,763.31116,79.03033,9.80045351473923,1.74362244897959
Friday,19773.5006459948,2542,9.5968992248062,762.331,82.94832,10.9909560723514,1.46188630490956
Monday,18396.9310344828,2542,7.77679403541472,763.13525,79.43896,10.7390493942218,1.33271202236719
